Canonical1,Canonical2,MergedName
Baseline Interview,Baseline Overview,Baseline Interview
Urine Drug Screen,Urine Drug Screen (UDS),Urine Drug Screen
Baseline Quality of Life Assessment,Baseline Pain and Quality of Life Assessment,Baseline Quality of Life Assessment
Weekly Medication Adherence Survey,Medication Adherence Survey,Weekly Medication Adherence Survey
Medication Adherence Survey,Medication Adherence,Medication Adherence Survey
